"R0000100","R0000600","R0001800","R0008800","R0009100","R0009600","R0010300","R0010400","R0010500","R0010600","R0013200","R0013400","R0015300","R0145100","R0146100","R0149800","R0149900","R0173600","R0214700","R0214800","R0216400","R0216601","R0217900","R0217910","T0857100","T2015100","T2998600","T3942500","T4876800","T5593000"
2805,16,2,-4,5,1,5,5,4,5,2,-4,2,0,-4,4,-4,3,2,1,3,2,28000,0,-4,-4,-4,-4,-4,-4
2806,15,2,-4,2,3,2,2,5,5,4,-4,4,0,-4,2,2,5,3,2,3,2,-3,-3,0,0,0,0,0,0
2807,15,2,-4,0,3,5,5,2,5,1,-4,1,0,-4,-3,-4,2,3,1,3,2,-2,-3,-4,-4,-4,-4,-4,-4
2808,14,1,-4,1,3,2,2,3,5,2,-4,2,0,-4,2,2,5,3,2,3,2,-2,-3,3,3,3,3,3,3
2809,18,2,-4,3,9,5,2,5,5,4,-4,4,0,-4,-4,-4,5,3,2,3,3,22000,0,2,2,2,2,2,2
2810,16,2,-4,3,9,5,5,2,5,2,-4,2,0,-4,2,4,5,3,2,3,2,22000,0,1,1,1,1,1,1
2811,15,2,-4,3,3,5,5,2,5,2,-4,2,0,-4,2,-4,1,3,1,3,2,22000,0,-4,-4,-4,-4,-4,-4
2812,14,2,-4,3,3,5,5,2,5,2,-4,2,0,-4,2,-4,1,3,1,-4,2,22000,0,-5,-5,-5,-5,-5,-5
2813,19,2,-4,4,3,9,2,5,5,3,-4,3,0,-4,-4,-4,1,3,1,3,3,17000,0,-4,-4,-4,-4,-4,-4
2814,17,2,-4,4,3,9,9,4,5,3,-4,3,0,-4,2,-3,5,3,2,3,2,-2,-3,2,2,2,-5,-5,-5
2815,14,1,-4,4,3,2,2,4,5,3,-4,3,0,-4,3,-4,1,3,1,3,2,18000,0,-4,-4,-4,-4,-4,-4
2816,18,2,-4,0,3,9,0,2,5,3,-4,3,0,-4,-4,-4,1,3,1,3,4,18000,0,-4,-4,-4,-4,-4,-4
2817,15,2,-4,1,3,2,2,3,5,3,-4,3,0,-4,1,3,5,3,2,3,2,6000,0,3,3,-5,3,-5,3
2818,14,2,-4,12,9,2,2,2,5,2,-4,2,0,-4,3,4,5,3,2,3,2,-2,-3,2,2,2,2,2,2
2819,20,2,1,2,3,9,9,5,1,2,1,1,0,-4,-4,-4,5,3,2,3,4,23500,0,2,2,2,2,2,-5
2820,16,2,-4,3,3,2,2,2,5,2,-4,2,0,-4,3,-4,1,3,1,3,2,-3,-3,-4,-5,-5,-5,-5,-5
2821,21,2,-4,3,3,2,2,2,5,2,-4,2,0,-4,-4,-4,1,3,1,3,3,-2,-3,-4,-4,-5,-5,-5,-5
2822,21,1,0,11,19,7,7,1,5,2,1,1,0,-4,-4,-4,8,1,2,1,1,3932,1,-5,-5,-5,-5,-5,-5
2823,18,1,-4,3,29,5,5,1,5,1,-4,1,0,-4,-4,-4,5,3,2,-4,4,15000,0,2,2,2,2,-5,-5
2824,15,1,-4,3,3,5,5,1,5,1,-4,1,0,-4,3,4,5,3,2,1,2,15000,0,-5,-5,-5,-5,-5,-5
2825,15,1,-4,3,3,5,0,1,5,0,-4,2,0,-4,3,4,5,3,2,1,2,15000,0,-5,-5,-5,-5,-5,0
2826,19,1,1,1,5,7,7,3,5,2,-4,2,1,1,-4,-4,5,3,2,1,4,7800,0,3,-5,-5,-5,-5,-5
2827,18,1,-4,0,22,7,7,5,5,2,-4,2,0,-4,-4,-4,1,3,1,1,1,6000,0,-5,-5,-5,-5,-5,-5
2828,18,1,0,3,23,7,7,5,5,4,-4,2,0,-4,-4,-4,5,3,2,1,1,-3,-3,3,3,3,3,3,3
2829,15,1,-4,3,23,7,7,5,5,1,-4,1,0,-4,2,2,5,3,2,1,2,8178,0,2,2,2,2,2,2
2830,15,1,-4,3,3,7,7,3,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,11200,0,-4,-4,-5,-5,-5,-5
2831,18,1,-4,2,5,7,0,2,5,1,-4,0,0,-4,-4,-4,5,3,2,-4,4,10000,0,0,0,0,0,0,0
2832,15,1,-4,0,3,7,7,1,5,1,-4,1,0,-4,2,-4,1,3,1,1,2,16500,0,-4,-4,-4,-4,-4,-4
2833,19,1,1,3,5,7,7,2,1,3,1,3,0,-4,-4,-4,1,3,1,-4,4,13000,0,-5,-5,-5,-5,-5,-5
2834,20,1,1,3,5,7,7,4,1,2,1,1,0,-4,-4,-4,5,3,2,1,4,11000,0,-5,-5,-5,-5,-5,-5
2835,20,1,0,4,5,7,7,2,5,2,-4,2,1,3,-4,-4,5,3,2,1,4,16023,0,-5,-5,-5,-5,-5,-5
2836,21,1,0,4,5,7,7,1,4,2,-4,2,0,-4,-4,-4,1,3,1,1,1,6700,0,-5,-5,-5,-5,-5,-5
2837,15,1,-4,1,3,7,7,1,5,4,-4,4,0,-4,1,-4,1,3,1,1,2,25500,0,-5,-5,-5,-5,-5,-5
2838,17,1,-4,2,5,5,5,3,5,0,-4,0,0,-4,2,-4,1,3,1,1,2,15000,0,-4,-4,-4,-5,-5,-4
2839,20,1,-4,2,29,7,7,2,5,2,-4,2,0,-4,-4,-4,1,3,1,1,4,23000,0,-4,-4,-4,-4,-4,-4
2840,15,1,-4,2,5,7,7,2,5,2,-4,3,1,3,1,2,5,3,2,1,2,23000,0,0,0,0,0,0,0
2841,20,1,-4,2,22,7,7,5,5,1,-4,2,0,-4,-4,-4,5,3,2,1,4,35000,0,3,3,3,3,3,3
2842,22,1,-4,1,11,7,7,5,5,0,-4,0,0,-4,-4,-4,1,3,1,1,3,18000,0,-4,-4,-4,-4,-4,-4
2843,15,1,-4,1,22,7,7,5,5,2,-4,2,0,-4,1,3,5,3,2,1,2,19000,0,-5,-5,-5,-5,-5,-5
2844,19,1,-4,1,22,7,7,2,5,0,-4,2,0,-4,-4,-4,1,3,1,1,3,27000,0,-5,-5,-5,-5,-5,-5
2845,16,1,-4,3,3,0,0,1,5,4,-4,4,1,3,3,-4,1,3,1,1,2,12000,0,-4,-4,-4,-5,-5,-5
2846,14,1,-4,3,3,0,0,1,5,3,-4,3,0,-4,2,4,5,3,2,1,2,12000,0,-5,-5,-5,-5,-5,-5
2847,14,1,-4,3,3,0,0,1,5,3,-4,3,0,-4,3,4,5,3,2,1,2,12000,0,0,0,0,-5,-5,-5
2848,19,1,-4,1,6,9,9,6,5,2,-4,2,0,-4,-4,-4,5,3,2,1,3,30000,0,0,0,0,0,0,0
2849,17,1,-4,1,6,9,9,5,5,2,-4,2,0,-4,3,4,5,3,2,1,2,32876,0,0,0,0,0,0,0
2850,16,1,-4,2,6,7,7,5,5,2,-4,2,0,-4,-2,3,5,3,2,1,2,45000,0,2,2,2,2,2,2
2851,15,1,-4,2,3,7,7,5,5,3,-4,3,0,-4,2,-4,1,3,1,1,2,45000,0,-4,-4,-4,-4,-4,-4
2852,21,2,-4,0,5,7,7,1,5,2,-4,2,0,-4,-4,-4,1,3,1,1,1,35000,0,-4,-4,-4,-4,-4,-4
2853,18,3,-4,2,28,7,7,2,5,1,-4,1,0,-4,-4,-4,1,3,1,1,2,15000,0,-5,-4,-5,-5,-5,-5
2854,16,1,-4,1,5,7,7,5,5,3,-4,3,0,-4,-4,-4,1,3,1,1,2,-1,-3,-4,-4,-4,-5,-5,-5
2855,15,1,-4,1,5,7,7,5,5,6,-4,5,1,1,2,4,5,3,2,1,2,-1,-3,3,3,3,3,3,3
2856,19,2,-4,6,3,6,6,2,5,2,-4,0,1,2,-4,-4,5,3,2,1,3,60000,0,0,0,0,0,0,0
2857,18,2,-4,6,3,9,9,5,5,2,-4,2,0,-4,-4,-4,1,3,1,1,2,40000,0,-5,-5,-5,-5,-5,-5
2858,16,2,-4,6,11,9,9,5,5,6,-4,5,0,-4,1,-4,1,3,1,1,2,40000,0,-4,-4,-4,-4,-4,-4
2859,21,1,-4,2,3,9,9,2,5,2,-4,2,0,-4,-4,-4,1,3,1,1,3,20000,0,-5,-5,-5,-5,-5,-5
2860,15,1,-4,2,3,5,-2,2,5,2,-4,-2,0,-4,4,-4,1,3,1,1,2,30000,0,-5,-5,-5,-5,-5,-5
2861,15,2,-4,1,3,9,9,2,5,3,-4,2,0,-4,3,-4,1,3,1,1,2,20000,0,-4,-4,-4,-4,-4,-4
2862,15,2,-4,1,3,7,0,1,5,1,-4,1,0,-4,-4,-4,5,3,2,1,2,6000,0,-5,-5,-5,-5,-5,-5
2863,14,2,-4,1,3,7,7,5,5,3,-4,2,0,-4,2,4,5,3,2,1,2,6000,0,0,0,0,-5,-5,-5
2864,21,1,-4,5,22,7,7,2,5,2,-4,2,0,-4,-4,-4,5,3,2,1,4,12000,0,1,1,1,1,1,1
2865,18,1,-4,5,3,7,7,5,5,3,-4,3,0,-4,-4,-4,5,3,2,1,1,12000,0,0,0,-5,0,0,0
2866,17,1,-4,5,22,7,7,5,5,4,-4,4,0,-4,2,-4,1,3,1,1,1,12000,0,-4,-4,-4,-4,-5,-4
2867,16,1,-4,5,3,7,7,5,5,0,-4,2,0,-4,2,2,5,3,2,1,2,12000,0,0,0,0,0,0,0
2868,21,1,-4,5,3,7,7,4,5,2,-4,2,0,-4,-4,-4,1,3,1,1,3,30000,0,-4,-4,-4,-4,-4,-4
2869,18,1,-4,5,5,7,7,4,5,3,-4,3,0,-4,-4,-4,5,3,2,1,3,30000,0,-5,-5,-5,-5,-5,-5
2870,17,2,-4,5,3,7,7,5,5,2,-4,2,0,-4,3,-4,1,3,1,1,2,30000,0,-4,-4,-4,-4,-4,-4
2871,15,1,-4,5,3,7,7,5,5,8,-4,6,0,-4,2,-4,1,3,1,1,2,30000,0,-4,-4,-4,-4,-4,-4
2872,18,1,-4,3,5,7,7,5,5,0,-4,2,0,-4,-4,-4,5,3,2,1,3,-1,-3,0,0,0,-5,-5,-5
2873,16,1,-4,3,5,7,7,5,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,-1,-3,-4,-4,-4,-4,-4,-5
2874,18,1,-4,3,19,9,9,2,1,4,1,1,1,1,-4,-4,4,1,1,1,1,-3,-3,-4,-4,-4,-4,-4,-4
2875,19,1,-4,5,11,7,7,5,5,0,-4,-2,0,-4,-4,-4,1,3,1,1,4,-2,-3,-5,-5,-5,-5,-5,-5
2876,18,1,-4,3,28,7,7,5,5,5,-4,5,0,-4,-4,-4,1,3,1,1,4,-3,-3,-4,-4,-4,-4,-4,-4
2877,20,1,1,4,3,7,7,2,5,2,-4,2,0,-4,-4,-4,6,3,2,1,4,19320,0,2,2,-5,2,2,2
2878,20,1,1,6,19,7,7,3,5,2,2,0,0,-4,-4,-4,8,1,2,1,1,-3,-3,6,6,6,6,6,6
2879,21,1,-4,2,3,7,7,2,5,2,-4,2,0,-4,-4,-4,5,3,2,1,4,-1,-3,2,2,2,2,-5,2
2880,19,1,-4,2,11,7,7,2,5,3,-4,3,0,-4,-4,-4,5,3,2,1,4,-1,-3,-5,2,2,2,-5,-5
2881,16,1,-4,2,3,7,7,2,5,3,-4,3,0,-4,1,-4,1,3,1,1,2,-1,-3,-4,-5,-5,-5,-4,-5
2882,18,1,1,4,9,7,7,5,5,0,-4,0,0,-4,-4,-4,1,3,1,1,1,5000,0,-5,-4,-4,-4,-4,-4
2883,19,1,-4,2,11,7,7,4,5,3,-4,3,0,-4,-4,-4,5,3,2,1,2,-1,-3,3,-5,3,-5,3,3
2884,15,1,-4,4,11,7,7,5,5,4,-4,4,0,-4,2,-4,1,3,1,1,2,20000,0,-4,-4,-4,-4,-4,-4
2885,21,1,0,2,3,7,7,1,3,4,-4,2,0,-4,-4,-4,5,3,2,1,1,4020,0,3,3,3,3,3,3
2886,19,1,1,3,1,2,2,3,1,3,3,0,0,-4,-4,-4,7,2,2,1,4,-1,-3,3,3,3,3,3,3
2887,21,1,-4,2,5,7,7,2,5,4,-4,4,0,-4,-4,-4,5,3,2,1,4,-1,-3,-5,-5,-5,-5,-5,-5
2888,15,1,-4,2,11,7,7,5,5,4,-4,4,0,-4,-2,-4,1,3,1,1,2,-1,-3,-5,-5,-5,-5,-5,-5
2889,15,1,-4,2,12,7,7,5,5,5,-4,3,0,-4,1,1,5,3,2,1,2,-1,-3,2,2,2,2,2,2
2890,15,1,-4,3,5,1,1,2,5,2,-4,2,0,-4,2,-4,4,1,1,1,2,25000,0,-5,-5,-5,-5,-5,-5
2891,18,1,-4,3,3,1,1,2,5,2,-4,2,0,-4,-4,-4,8,1,2,1,4,25000,0,-5,-5,-5,-5,-5,-5
2892,14,1,-4,2,6,1,1,4,5,4,-4,4,0,-4,3,3,5,3,2,1,2,-1,-3,3,3,3,3,3,3
2893,19,1,-4,1,2,0,0,1,5,2,-4,2,0,-4,-4,-4,1,3,1,1,3,-1,-3,-4,-4,-4,-4,-4,-4
2894,16,1,-4,3,3,3,3,5,5,3,-4,3,0,-4,2,3,5,3,2,1,2,50000,0,3,3,3,3,3,3
2895,14,1,-4,3,3,3,3,3,5,4,-4,4,0,-4,2,-4,1,3,1,1,2,50000,0,-4,-4,-4,-4,-4,-4
2896,17,1,-4,3,27,3,3,4,5,2,-4,2,0,-4,-2,-4,1,3,1,1,2,50000,0,-4,-4,-4,-4,-4,-4
2897,16,1,-4,2,3,8,0,1,5,0,-4,0,0,-4,3,3,5,3,2,1,2,-2,-3,-5,-5,-5,-5,-5,-5
2898,20,1,-4,1,6,4,6,2,5,3,-4,3,0,-4,-4,-4,1,3,1,2,3,75001,0,-5,-5,-5,-5,-5,-5
2899,16,1,-4,2,3,3,3,2,5,2,-4,2,0,-4,4,4,5,3,2,1,2,40000,0,0,0,0,0,0,0
2900,18,1,-4,1,27,6,6,2,5,2,-4,2,0,-4,-4,-4,5,3,2,4,3,75001,0,2,2,2,-5,-5,-5
2901,22,1,-4,2,6,9,9,2,5,3,-4,3,0,-4,-4,-4,5,3,2,1,3,75001,0,-5,-5,-5,-5,-5,-5
2902,20,1,-4,2,3,9,9,4,5,2,-4,3,0,-4,-4,-4,5,3,2,3,3,60000,0,2,2,2,2,2,2
2903,16,1,-4,2,6,9,9,2,5,3,-4,3,0,-4,1,-4,1,3,1,1,2,75000,0,-5,-4,-4,-4,-5,-5
2904,17,1,-4,2,3,1,9,4,5,3,-4,3,0,-4,2,-4,1,3,1,1,2,-1,-3,-4,-4,-4,-4,-4,-4
2905,17,1,-4,2,3,4,4,2,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,53000,0,-5,-4,-4,-4,-4,-4
2906,16,1,-4,2,3,4,4,3,5,0,-4,2,0,-4,3,-4,1,3,1,1,2,53000,0,-4,-4,-4,-4,-4,-4
2907,17,1,-4,3,5,7,7,5,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,75001,0,-5,-5,-5,-5,-4,-5
2908,21,1,-4,3,3,7,7,2,5,2,-4,2,0,-4,-4,-4,5,3,2,3,3,53000,0,3,3,3,3,3,3
2909,18,1,-4,3,3,7,7,3,5,3,-4,2,0,-4,-4,-4,5,3,2,1,3,-2,-3,2,2,2,2,2,2
2910,14,2,-4,2,24,8,8,2,5,2,-4,2,0,-4,2,3,5,3,2,1,2,75001,0,1,2,2,2,2,2
2911,18,1,-4,3,20,7,7,1,5,8,-4,8,0,-4,-4,-4,8,1,2,1,1,4000,1,4,4,4,4,4,4
2912,15,1,-4,3,20,7,7,2,5,4,-4,4,0,-4,1,-4,4,1,1,1,2,4000,1,-4,-4,-4,-4,-4,-4
2913,19,1,-4,3,15,7,7,1,5,4,-4,4,0,-4,-4,-4,4,1,1,1,1,4000,1,-4,-4,-5,-5,-5,-5
2914,18,1,-4,2,1,2,2,5,5,3,-4,3,0,-4,-4,-4,3,2,1,1,2,17000,0,-4,-4,-4,-4,-4,-4
2915,21,1,1,2,5,7,0,1,5,2,-4,2,0,-4,-4,-4,1,3,1,1,4,-3,-3,-4,-4,-4,-4,-4,-4
2916,19,1,-4,1,12,7,7,4,5,4,-4,4,0,-4,-4,-4,1,3,1,1,3,20000,0,-5,-5,-4,-5,-4,-4
2917,20,1,-4,3,5,7,7,1,5,2,-4,0,0,-4,-4,-4,1,3,1,1,1,400,1,-5,-5,-4,-4,-4,-4
2918,21,1,-4,6,12,7,7,2,5,4,-4,4,0,-4,-4,-4,5,3,2,1,4,-1,-3,2,2,2,2,2,2
2919,19,1,-4,6,12,7,7,2,5,2,-4,2,0,-4,-4,-4,5,3,2,1,3,-2,-3,1,1,1,1,1,1
2920,17,1,-4,6,12,7,7,3,5,2,-4,2,0,-4,3,-4,1,3,1,1,2,75001,0,-4,-4,-4,-4,-4,-4
2921,14,1,-4,6,11,7,7,4,5,3,-4,4,0,-4,2,-4,1,3,1,1,2,20000,0,-4,-4,-4,-4,-4,-4
2922,18,1,-4,4,3,5,3,2,5,0,-4,2,0,-4,-4,-4,1,3,1,1,2,-1,-3,-5,-5,-5,-5,-5,-5
2923,16,1,-4,5,22,7,7,5,5,0,-4,2,0,-4,-2,-4,1,3,1,1,2,-1,-3,-4,-4,-4,-4,-5,-5
2924,15,1,-4,5,22,7,7,5,5,6,-4,1,0,-4,1,-4,1,3,1,1,2,-1,-3,-5,-5,-5,-5,-5,-5
2925,22,1,-4,3,6,7,7,2,5,2,-4,2,0,-4,-4,-4,1,3,1,1,3,3800,0,-5,-5,-5,-5,-5,-5
2926,20,1,-4,3,11,7,7,3,5,2,-4,2,0,-4,-4,-4,5,3,2,1,4,30000,0,-5,-5,-5,-5,-5,-5
2927,18,1,-4,3,6,7,7,5,5,0,-4,2,0,-4,-4,-4,1,3,1,1,2,30000,0,-5,-5,-5,-5,-5,-4
2928,15,1,-4,3,3,7,7,2,5,2,-4,2,0,-4,1,-2,5,3,2,1,2,13000,0,2,2,2,2,2,2
2929,21,1,-4,3,6,4,0,1,5,0,-4,0,0,-4,-4,-4,5,3,2,1,3,12000,0,0,0,0,0,0,0
2930,19,1,-4,1,12,7,7,4,5,4,-4,2,0,-4,-4,-4,5,3,2,1,3,12500,0,1,1,1,1,1,1
2931,16,1,-4,1,12,7,7,4,5,7,-4,0,0,-4,3,-4,1,3,1,1,2,12500,0,-4,-5,-5,-5,-5,-5
2932,19,1,-4,3,28,7,7,1,5,2,-4,2,0,-4,-4,-4,1,3,1,1,1,-2,-3,-5,-5,-5,-5,-5,-5
2933,18,1,-4,3,28,7,7,5,5,3,-4,3,0,-4,-4,-4,1,3,1,1,1,-2,-3,-4,-4,-4,-4,-4,-4
2934,17,1,-4,3,28,7,7,5,5,2,-4,2,0,-4,-2,2,5,3,2,1,1,-2,-3,-5,-5,-5,3,-5,3
2935,20,2,-4,2,29,7,7,5,5,-2,-4,-2,0,-4,-4,-4,5,3,2,1,3,-2,-3,-5,-5,-5,-5,-5,-5
2936,19,1,-4,2,3,7,7,5,5,2,-4,2,0,-4,-4,-4,5,3,2,1,3,34000,0,1,1,1,1,1,1
2937,17,1,-4,2,11,7,7,5,5,3,-4,6,0,-4,2,-4,1,3,1,1,2,22500,0,-5,-5,-5,-5,-5,-5
2938,17,1,-4,2,6,7,7,5,5,3,-4,2,0,-4,3,4,5,3,2,1,2,-1,-3,1,1,-5,1,-5,1
2939,21,1,-4,2,3,9,0,2,5,2,-4,2,1,1,-4,-4,1,3,1,1,3,60000,0,-4,-4,-4,-4,-4,-4
2940,19,2,-4,2,11,9,9,2,5,2,-4,2,0,-4,-4,-4,5,3,2,1,3,60000,0,0,0,0,0,0,0
2941,14,2,-4,2,6,3,3,5,5,2,-4,2,0,-4,1,-4,1,3,1,1,2,75001,0,-4,-4,-4,-4,-4,-4
2942,14,1,-4,2,1,0,0,2,5,2,-4,2,0,-4,3,2,7,2,2,1,2,7000,1,0,0,0,0,0,0
2943,14,1,-4,2,11,7,7,6,5,4,-4,4,0,-4,2,2,5,3,2,1,2,35000,0,3,-5,-5,-5,-5,3
2944,16,1,-4,3,3,4,4,3,5,0,-4,1,0,-4,4,-4,3,2,1,1,2,20000,0,-4,-4,-4,-4,-4,-4
2945,17,1,-4,3,28,7,0,2,5,2,-4,4,0,-4,2,-4,1,3,1,1,2,33000,0,-4,-4,-4,-4,-4,-4
2946,15,1,-4,3,28,7,7,2,5,2,-4,2,0,-4,2,3,5,3,2,1,2,32000,0,2,2,2,2,2,2
2947,19,1,-4,4,6,7,7,5,5,15,-4,5,0,-4,-4,-4,5,3,2,1,3,32000,0,-5,-5,-5,-5,-5,-5
2948,22,1,-4,5,3,7,7,5,5,3,-4,3,0,-4,-4,-4,5,3,2,1,3,33800,0,4,4,4,4,4,4
2949,20,1,-4,5,11,7,7,5,5,6,-4,6,0,-4,-4,-4,5,3,2,1,3,33800,0,4,4,4,4,4,-5
2950,15,1,-4,5,11,7,7,5,5,5,-4,5,0,-4,1,-4,1,3,1,1,2,33500,0,-4,-4,-4,-4,-4,-4
2951,19,2,-4,1,1,1,1,1,5,4,-4,3,0,-4,-4,-4,3,2,1,1,1,-2,-3,-4,-4,-4,-4,-4,-4
2952,16,1,-4,4,11,7,7,2,5,2,-4,4,0,-4,3,3,5,3,2,1,2,10000,0,1,1,1,1,1,1
2953,16,2,-4,1,5,7,7,4,5,4,-4,6,0,-4,2,-4,1,3,1,1,2,5215,0,-4,-4,-4,-4,-4,-4
2954,14,1,-4,4,3,9,9,5,5,3,-4,3,0,-4,1,-4,1,3,1,1,2,15000,0,-5,-5,-5,-5,-5,-5
2955,18,1,-4,3,6,2,2,5,5,3,-4,3,0,-4,-4,-4,5,3,2,1,3,-2,-3,2,2,2,2,2,2
2956,16,1,-4,3,6,2,2,2,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,35000,0,-5,-5,-5,-5,-5,-5
2957,15,1,-4,3,6,2,2,2,5,2,-4,2,0,-4,3,-4,1,3,1,1,2,35000,0,-4,-4,-4,-4,-5,-5
2958,14,1,-4,3,6,2,2,3,5,2,-4,3,0,-4,2,-4,1,3,1,1,2,-2,-3,-4,-4,-4,-4,-4,-4
2959,16,1,-4,2,6,7,7,5,5,2,-4,1,0,-4,2,4,5,3,2,1,2,35000,0,3,3,3,3,3,3
2960,15,1,-4,3,3,1,1,4,5,3,-4,2,-4,-3,3,-4,1,3,1,1,2,-2,-3,-4,-4,-4,-4,-4,-4
2961,20,1,-4,5,11,7,7,4,5,4,-4,2,0,-4,-4,-4,5,3,2,1,3,30000,0,3,3,3,3,3,3
2962,17,2,-4,5,11,7,7,5,5,5,-4,3,0,-4,2,-4,1,3,1,1,2,30000,0,-4,-4,-4,-4,-4,-4
2963,16,1,-4,1,3,5,5,5,5,4,-4,3,0,-4,2,-4,1,3,1,1,2,25000,0,-4,-4,-4,-4,-4,-4
2964,18,1,-4,1,9,7,7,5,5,2,-4,2,0,-4,-4,-4,5,3,2,1,3,-1,-3,2,2,2,2,2,2
2965,18,1,-3,4,20,7,0,-3,1,3,-4,3,0,-4,-4,-4,4,1,1,1,1,4000,0,-5,-4,-4,-4,-4,-4
2966,17,1,-4,4,20,7,7,2,5,4,-4,4,0,-4,1,-4,4,1,1,1,2,8438,1,-5,-5,-5,-5,-5,-5
2967,15,1,-4,4,20,7,0,1,5,-3,-4,3,0,-4,2,-4,4,1,1,1,2,9288,0,-5,-5,-5,-5,-5,-5
2968,14,1,-4,4,20,7,0,1,5,2,-4,2,0,-4,-2,-4,4,1,1,1,2,9288,0,-4,-4,-4,-4,-4,-5
2969,18,1,-4,3,19,7,7,2,5,-3,-4,2,1,3,-4,-4,8,1,2,1,1,11000,0,-5,-5,1,-5,-5,1
2970,21,1,-4,4,19,7,7,1,5,2,-4,2,0,-4,-4,-4,8,1,2,1,4,11000,0,3,3,3,3,3,3
2971,15,1,-4,6,19,7,7,5,5,-3,-4,2,0,-4,4,-4,4,1,1,1,2,9500,0,-4,-4,-4,-4,-4,-4
2972,18,1,-4,2,6,7,7,2,5,1,-4,1,0,-4,-4,-4,1,3,1,1,2,29000,0,-5,-5,-5,-5,-5,-5
2973,16,1,-4,2,6,7,7,2,5,1,-4,1,0,-4,2,-4,1,3,1,1,2,29000,0,-4,-4,-4,-4,-4,-4
2974,15,1,-4,4,6,1,1,1,5,2,-4,2,0,-4,3,-4,1,3,1,-4,2,16500,0,-4,-4,-4,-4,-4,-4
2975,16,1,-4,2,6,7,7,5,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,10000,0,-4,-4,-4,-4,-4,-5
2976,15,1,-4,3,11,7,7,2,5,3,-4,3,0,-4,1,-4,1,3,1,1,2,21200,0,-4,-4,-4,-4,-4,-4
2977,17,1,-4,6,12,2,2,2,5,6,-4,6,0,-4,3,-4,1,3,1,1,2,16000,0,-4,-4,-4,-4,-4,-4
2978,20,1,1,4,12,7,7,2,5,6,-4,2,0,-4,-4,-4,5,3,2,1,1,14500,0,2,2,2,2,-5,-5
2979,16,1,-4,3,11,7,7,1,5,3,-4,3,0,-4,-2,3,5,3,2,1,2,20000,0,3,3,3,3,3,3
2980,21,1,-4,1,3,2,2,5,5,2,-4,2,0,-4,-4,-4,1,3,1,1,3,47000,0,-4,-4,-4,-4,-4,-4
2981,16,1,-4,3,28,7,7,5,5,4,-4,4,0,-4,2,-4,1,3,1,1,2,32000,0,-4,-4,-4,-5,-5,-5
2982,16,1,-4,3,3,7,7,2,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,60000,0,-5,-5,-5,-5,-5,-5
2983,14,1,-4,3,11,7,7,5,5,2,-4,2,0,-4,3,-2,5,3,2,1,2,60000,0,-5,2,2,2,2,-5
2984,18,1,-4,3,11,7,7,5,5,4,-4,4,0,-4,-4,-4,1,3,1,1,2,60000,0,-4,-4,-4,-4,-4,-4
2985,14,1,-4,3,11,7,7,4,5,2,-4,7,0,-4,2,-4,1,3,1,1,2,60000,0,-4,-4,-4,-4,-4,-4
2986,18,1,-4,1,6,8,8,2,5,2,-4,2,0,-4,-4,-4,1,3,1,1,3,23000,0,-5,-5,-5,-5,-5,-5
2987,20,1,-4,1,6,8,8,2,5,2,-4,2,0,-4,-4,-4,5,3,2,1,3,-2,-3,0,0,0,0,0,-5
2988,18,1,-4,1,22,8,8,2,5,2,-4,3,0,-4,-4,-4,1,3,1,1,3,50000,0,-4,-4,-4,-4,-4,-4
2989,15,1,-4,1,24,8,8,2,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,50000,0,-4,-4,-4,-4,-4,-4
2990,16,1,-4,2,11,7,7,5,5,6,-4,6,0,-4,2,2,5,3,2,1,2,22000,0,2,2,2,2,2,2
2991,16,1,-4,1,6,8,8,2,5,2,-4,2,0,-4,3,4,5,3,2,1,2,50000,0,0,0,0,0,0,0
2992,20,1,-4,5,28,1,1,1,5,2,-4,2,0,-4,-4,-4,1,3,1,1,4,6500,0,-5,-5,-5,-5,-5,-5
2993,16,1,-4,6,3,5,0,6,5,2,-4,2,0,-4,2,4,5,3,2,1,2,6500,0,2,2,2,2,2,2
2994,19,1,-4,4,6,7,7,2,5,3,-4,3,0,-4,-4,-4,1,3,1,1,4,16000,0,-4,-4,-4,-4,-4,-4
2995,19,1,-4,3,11,7,7,1,5,4,-4,4,1,3,-4,-4,5,3,2,1,4,30000,0,1,1,1,1,1,1
2996,20,1,-4,3,3,7,0,1,5,3,-4,3,0,-4,-4,-4,1,3,1,1,4,35000,0,-4,-4,-4,-4,-4,-4
2997,20,1,-4,4,3,7,7,6,5,3,-4,2,0,-4,-4,-4,1,3,1,1,4,49000,0,-4,-4,-4,-4,-4,-4
2998,17,1,-4,4,3,7,7,6,5,4,-4,4,0,-4,1,-4,1,3,1,1,2,49000,0,-4,-4,-4,-5,-5,-5
2999,20,1,-4,3,12,7,0,2,5,2,-4,2,0,-4,-4,-4,1,3,1,1,4,36000,0,-4,-4,-4,-4,-4,-4
3000,18,1,-4,2,6,7,7,2,5,2,-4,3,0,-4,-4,-4,5,3,2,1,2,23000,0,-5,-5,-5,-5,-5,-5
